TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_SIZE,Cluster
0,1,0,0,1
4,9,453,36220,1
0,1,0,0,1
46,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,2,1,12,1
1,1,22028,895288,1
1,3,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,4,7228,1223430,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
3,1,0,7,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
7,2,14115,28964273,2
11,1,0,1,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
1,3,1,28,1
0,1,0,0,1
6,1,0,0,1
1,2,25,500,1
0,2,0,0,1
18,2,0,1,1
0,1,0,0,1
0,1,0,0,1
1,4,1,12,1
1,1,0,0,1
2,1,62465,3498040,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
2,3,1,6,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,28,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
20,5,0,0,1
0,2,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
1,1,1,12,1
1,3,1,20,1
0,1,0,0,1
0,1,0,0,1
4,4,0,3,1
0,2,0,0,1
0,2,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
0,2,0,0,1
1,4,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
3,9,2800,153969,1
3,5,44,13907,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
1,1,1,24,1
0,1,0,0,1
1,1,2582,51640,1
0,1,0,0,1
6,2,0,4,1
0,1,0,0,1
0,1,0,0,1
1,1,1,20,1
262,3,63206,16404604,3
0,1,0,0,1
1,1,1226,24520,1
0,1,0,0,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,5,0,0,1
2,5,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,44,1
1,2,1,44,1
1,1,3809,76180,1
0,1,0,0,1
0,1,0,0,1
242,1,71570,7443239,5
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
2,2,1,14,1
1,1,0,0,1
0,2,0,0,1
